statement,object_1,object_2,correct_object_2,correct,negation,real_object,category,is_true,is_false,is_unvefiriable,multiclass_label
The city of Palembang is located in the Dominican Republic.,Palembang,the Dominican Republic,Indonesia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Laoag is not located in Libya.,Laoag,Libya,the Philippines,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Airoli is not located in India.,Airoli,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Pindi Bhattian is not located in Pakistan.,Pindi Bhattian,Pakistan,Pakistan,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Surat is located in India.,Surat,India,India,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Georgetown is not located in Guyana.,Georgetown,Guyana,"the United States, KY, the United States, TX, Guyana",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Parys is located in Hong Kong.,Parys,Hong Kong,the South Africa,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Evansville is not located in the United States, IN.",Evansville,"the United States, IN","the United States, IN",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Schwäbisch Hall is located in Germany.,Schwäbisch Hall,Germany,Germany,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Ipoh is not located in Malaysia.,Ipoh,Malaysia,Malaysia,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Medellín is not located in Colombia.,Medellín,Colombia,Colombia,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of To‘rqao‘rg‘on is located in Uzbekistan.,To‘rqao‘rg‘on,Uzbekistan,Uzbekistan,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kishorganj is located in Romania.,Kishorganj,Romania,Bangladesh,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of La Paz is located in Bolivia.,La Paz,Bolivia,"Mexico, Bolivia",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of San Bernardino Tlaxcalancingo is not located in Guam.,San Bernardino Tlaxcalancingo,Guam,Mexico,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Hita is not located in Japan.,Hita,Japan,Japan,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Saidpur is located in Norway.,Saidpur,Norway,Bangladesh,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Coari is located in the United States, OR.",Coari,"the United States, OR",Brazil,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Dharān is not located in Nepal.,Dharān,Nepal,Nepal,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Srinagar is not located in Cuba.,Srinagar,Cuba,India,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of London is not located in the United Kingdom.,London,the United Kingdom,"the United Kingdom, Canada",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Birmingham is not located in Curacao.,Birmingham,Curacao,"the United States, AL, the United Kingdom",TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Kousséri is located in the United States, AZ.",Kousséri,"the United States, AZ",Cameroon,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Mardan is not located in Western Sahara.,Mardan,Western Sahara,Pakistan,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Perm is not located in the North Korea.,Perm,the North Korea,Russia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kalyān is located in India.,Kalyān,India,India,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Seoul is located in the South Korea.,Seoul,the South Korea,the South Korea,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Wuzhou is located in China.,Wuzhou,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Meerut is not located in India.,Meerut,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Kūhdasht is not located in Iran.,Kūhdasht,Iran,Iran,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Kasur is located in Pakistan.,Kasur,Pakistan,Pakistan,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Al Minshāh is not located in Egypt.,Al Minshāh,Egypt,Egypt,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Krasnodar is located in Russia.,Krasnodar,Russia,Russia,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Chattogram is not located in Bangladesh.,Chattogram,Bangladesh,Bangladesh,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Shibīn al Qanāṭir is located in Bulgaria.,Shibīn al Qanāṭir,Bulgaria,Egypt,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Santiago is located in Chile.,Santiago,Chile,"Peru, the Philippines, Mexico, Brazil, Chile",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Rawalpindi is located in the United States, AL.",Rawalpindi,"the United States, AL",Pakistan,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Hammam Bou Hadjar is located in Georgia.,Hammam Bou Hadjar,Georgia,Algeria,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Shenyang is not located in China.,Shenyang,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Deal is not located in the United Kingdom.,Deal,the United Kingdom,the United Kingdom,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Qingdao is located in China.,Qingdao,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Johannesburg is located in the South Africa.,Johannesburg,the South Africa,the South Africa,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Hihyā is located in Egypt.,Hihyā,Egypt,Egypt,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Dahegām is not located in India.,Dahegām,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Ghāziābād is located in Gabon.,Ghāziābād,Gabon,India,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Arequipa is not located in the United States, WA.",Arequipa,"the United States, WA",Peru,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Liverpool is not located in Israel.,Liverpool,Israel,the United Kingdom,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Hāsimāra is located in Montenegro.,Hāsimāra,Montenegro,India,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Alexandria is located in Vanuatu.,Alexandria,Vanuatu,"the United States, LA, the United States, VA, Egypt, Romania",FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
