Name,Keep,Notes
Leguaqui,1,
Red Rosing,1,
Bougoja,1,
Otranshang,1,
Harburaighley,1,
Adiwekwe,1,
Kail-Mayinshi Māda,1,
Izmailua,1,
Floraturíni,1,
Dumonon,1,
Santa City,0,
Good Heigh,1,
Mīt Gerets,1,
Alcapande,1,
Neatogor,1,
Puereviève,1,
Mengyunn,1,
Las Moth,1,
Bandhwar,0,
Tebir Sīkri,1,
Zagancal,1,
Kaspan,0,
Subice,0,
Datutoniegono,1,
Sorosson,1,
Bernick,0,
Remblinga,0,
Çana de City,0,
Cardia,1,
Torriche,1,
Bānkul’,1,
Shiquire,1,
Shahruston,1,
Dimāredo,1,
Olupendo,1,
Cobányang,1,
Doddar City,0,
Verry,1,
Koksekobao,1,
Guyangshan,0,
Joendalet,1,
Kawingtou,1,
Ninhorn,1,
Hechenghu,1,
Viry-sura,1,
Jiaoyuan,1,
San Beachan,1,
Beāwadar,1,
Whitte,0,
Kayamaich,1,
Nābhāti,1,
Luganāṭir,1,
Deninde,1,
Panlıurfa,1,
Baoyu,0,
Jalāsimo,1,
Bravan,0,
Yōkaidi Nuevar,1,
Temburgazi,1,
Hoimbivli,1,
Grandīla,1,
San Heights,0,
Tuymangazin,1,
Heldefeld,0,
Padras,0,
Kangjia,0,
Zemuning,1,
Skudi,1,
Thoord,1,
Parakar,0,
Richua,1,
Tazarolon,1,
South Shaoqi,1,
Biryacia,1,
Almarakatepe,1,
Thānagara,1,
Ballūr,0,
Zizhuke,1,
Wake Helche,1,
Chalapur,0,
Québes,0,
Lugadanne,1,
Denito,1,
Mballum,1,
Shawack,1,
Mamunas 7,1,Fixed the name: removed 7 at the end
Dreistafael,1,
Homeovido,1,
el Milancaltinsk,1,
Rouenlia,1,
Westeaux,1,
Papalpāyegān,1,
Bisley,0,
Terciş,0,
Jinjār,0,
Kostonsón,1,
Camakorge,1,
Las Sacatepar,1,
Ciénagaha,0,
Venlong,1,
Noblen Grah,1,
Karangalpart,1,
Mancorís,1,
Rubica,0,
Duzhnogvli,1,
Soliv-Podil,1,
Jianwal,1,
Severpendi,1,
Vills,0,
Kochëkin,1,
Toyoba Borja,1,
South Riu,0,
Jauhtémock,1,
Kanshan,0,
Capirakau,1,
Thaberpring,1,
Sidova,1,
Salzgitou,1,
Bromwick,0,
Le Heigheim,0,
Hatfieldo,0,
Lizhne,1,
Tiet Reale,1,
Budad Hillan,1,
Jingongfeng,1,
San Solie,0,
Ferrito,0,
Marantung,1,
Pāchan,0,
Kibuzian,1,
Caetapended,1,
Hà Tin,0,
Bergarh,0,
Rosnoto,1,
Yuzhinsk,1,
Parato,0,
Yumaweruno,1,
Techeng,0,
Prest Vill,1,
Lāksheim,1,
Maombot,1,
Aostad,0,
Bandwar,0,
Igua dos,1,
Nanmaguayne,1,
Salamīrpur,1,
Scramaguá,1,
Panlainan,1,
Akbarawango,1,
Taborona Góry,1,
Buente,0,
Sosnot,0,
Mobaba,1,
Zouzid,1,
Negrines,0,
Pamurobi,1,
Staakess,1,
Coeurn,1,
Dabrung City,1,
Collton,0,
Magoasaya,1,
Bīsalet,1,Removed 'de los' at the end
Norminsk,1,
Goosarkan,1,
Domiyangyi,1,
Astricosiysk,1,
Sydnesbro,1,
Wermoston,1,
Briangarh,1,
Saugan,0,
Huddebpur,1,
Neu-Igbove,1,
Nazanes,1,
El Aterow,1,
Trëkhgorsk,1,
Duquetía,1,
Wilmen,0,
Tokolcal,1,
Olaven,1,
Néa Iguan,0,
Genton,1,
Daeju,0,
Kaloni,0,
Malumbhar,1,
Covillen,1,
Rieszi,0,
Saine Paz,1,
Kodītī,1,
Medicia,0,
Chorenčín,1,
Billstownee,1,
La Roquenlu,1,
Goudzopé,1,
Zacant An,1,
Huaia Rosa,1,
Corodogol,1,
Koverson,1,
Camdan,0,
Buriadhya,1,
Jalanbury,1,
Alistel,0,
Bigue,0,
Unio Pale,1,
Malapawa,1,
Kōshūţ,0,
Bakerület,1,
Anguilpaşa,1,
Schwellden,1,
Azcapona,1,
Shahkodër,1,
Bendai,0,
Kirkkot,1,
Lozocoper,1,
Tungasaka,1,
Kędziečna,1,
