Name,Keep,Notes
Iced Standand,1,
the Siern Ivo Islands,1,
Gab Emirico,1,Removed 'the' and 'Islands'
Russaudan,1,
Afghan,0,
the Monted Stala Kingdom,1,
the Austatvinam Kingdom,1,
Ireecedest,1,
"the States, MS",0,
Soldovadago,1,
Pordelawi,1,
Sinamencippia,1,
the Unitenea,0,
West Gamenmaragua,1,
Combo Republia,0,
the Demas,0,
Rustated Stania,1,
"the Unites, KY",0,
the the an Islands,0,
West Thermerunegro,1,Capitalized
East the Unite,0,
Azerina,1,
Pakian,0,
"Guates, OK",1,
the Slovorgypru Islands,1,
Soutates,1,"Removed ',IL'"
Bostra Ance,1,Capitalized
Lites,1,"Remvoed ',WA'"
the the Unissia Islands,0,
Unican,1,Removed 'the' 
"Lebaines, Herma",1,
the Unic Repuband,0,
"the Sinites, VA Kingdom",0,
the Unitia,0,
the Stati,0,
the Unistria,0,
North Guing,1,Removed 'the' and 'new'
Togolanzakine,1,
the U.S. Vietna,0,
the Unidanyan Islands,1,Removed one 'the'
Sern Rico,1,
the Kaziles,1,"Removed 'WA', added 'the'"
"North the Unites, AL",0,
Jamoates,1,Removed 'WI'
Demal Guinei,1,Removed 'the' 
the Bosottes,1,Removed 'NV Kigdom'
Sahamerdandia,1,
the Philicao,1,
Leorea-Bisti,1,
"the States, MA",0,
the the Unia Kingdom,0,
Dembia,0,"Kept 'Dembia', removed 'the' and 'land'"
Mong,0,
"Pakhstates, MS",0,
the Rwaites,1,"Removed ',OH' and added the"
Conic Rica,0,
"the Unites, MN",0,
Statede,1,Removed 'the' 
Marbandialand,1,
"the Unites, MS",0,
the United Kos,0,
Mozamina,1,
Romainea,0,
Maraicao RI,0,
Thuamenman,1,Capitalized
"Qates, Honea",1,
Bothe Bahra,1,
Bulgern Republic,1,Added 'c' at the end
th Argland,0,
Molomarkey,1,
the Republic of the Leorginealva,1,
Senmastatedos,1,
"West the Unites, MT",0,
Camascarus,1,
Statedorda,1,removed 'the republic of th'
the Paral,1,
Molovenezue,1,
therralandand,0,
Bothe Republipe,0,
the Therrites,1,"Capitalized, and removed ', NJ', added 'the'"
Beloutate,1,"removed 'MS', made the name singular"
Morthe United PA,0,
the Unitras,0,
Braelgarica,1,
Gamibyan,0,
"Paltates, Korel",1,
"New Guades, OR",1,
Maudia,1,
"the Unistates, OR",0,
"the Unites, OK",0,
"the Unites, NV",0,
Monites,1,"removed ',NJ'"
Maldia Ricland,1,
the Nigenyandon Kingdom,1,
Uzberthe Par,1,
"the Unites, ID",0,
Guaterba,1,removed 'th'
the Unitzegola,1,
Venitemarkey,1,
