Name,Keep
Hydracytarate,1
"Solin, humab",0
Bivampridinib,1
Olophentiramide,1
Bitol,0
Brilastan,0
Thioprolone,0
Alemetamolimus,1
Talafamelate,1
Magnesartan,1
Ravuconabederum,1
Pyridaxol,0
Cystin,0
Mibefradionate,1
Alanthenprofloxisentol,1
Remoclose,1
Aldehydrocin,1
Ergome,0
Loperac,0
Roban,1
"Bens, B",1
Tezafil,1
Technetamine,1
Sitamate,0
Rituzumab mon,1
Lipoterole,1
Midone,0
Pentan medoran,1
Tiagabinate,1
Desvenin,1
Cyclid,0
Sulfapen,0
Propiclen,1
Phenadionam,1
Cycline,0
Golic acid,1
Chlorotermin,1
Fluprol,1
Dinoetiapride,1
Elocytoin,1
Axitin,0
Toramine,1
Cefusionate,1
Isol,0
Procortuzumab,1
Lumab medane,1
"Bicallin, humab",0
Thiazepam,1
Grisoxacid,1
Nicalcohept,1
Strexacid,1
Cole,1
Azelanzamide,1
Isavucosalifolisoprofiban,1
Zibosenacost,1
Cefoxoprozil,1
Cetic acid,1
Phenyltoridast,1
Fluconatat,1
Bipene oil,1
Ularomethate,1
Isopate Ga-68,1
Edotinamine,1
Tamosamide,1
Fluoridilast,1
Virgide,1
Disoxyurea,1
Loterolidone,1
Oxymetazotan,1
Talnetium,1
Dersat,1
Tofazide,1
SR 1207,1
Bepotin,0
Enzapridepate,1
Dorzoxin B,0
Rasburine,1
Thalirudiol,1
Droxomide,1
Clon,0
Deutenone,1
Briaxol,0
Vilonate,1
Xalic acid,0
Zinc globulin,0
Clopa,1
Leuprofen,0
Pyridamol,0
Inosuvast,1
Nylindenol,1
Ethiomazine,1
Fosamin,0
Dapineethamide,1
Erdoxone,0
Travoprefusion,1
Neostonicone,1
Hydroxin,0
Pemi,0
Pipamide,1
Methyllin,0
Auracarboxacid,1
PX-1024,1
Estrafenidazine,1
Alumil,1
Artemciclon,1
99m trivatuzumab,1
Fenflumab,1
Nemoxetan,1
Nabine,1
Sorasentol,1
Talinoglitat,1
Terferol 300,0
Pargylinoin,1
Nalmitrigitol,1
HZT-51803,1
Ondazole,0
Estamin,0
Guanadione,1
Sevelanol,1
Bedotoxib,1
Fluprazotide,0
Serden,1
Cholistate,1
Alostat,1
Thalazole,0
Tenoxazole,1
"3,4-Methioriconate, monine",1
Equinam,0
