statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,freq_1,freq_2
Pentobarbital is not indicated for the treatment of insomnia.,Pentobarbital,insomnia,insomnia,false,true,true,false,false,indications,2.16,3.43
Pentobarbital is indicated for the treatment of insomnia.,Pentobarbital,insomnia,insomnia,true,false,true,false,false,indications,2.16,3.43
Pentobarbital is not indicated for the treatment of HAE.,Pentobarbital,HAE,insomnia,true,true,true,false,false,indications,2.16,3.1
Pentobarbital is indicated for the treatment of gallstone.,Pentobarbital,gallstone,insomnia,false,false,true,false,false,indications,2.16,1.86
Glipizide is not indicated for the treatment of type 2 diabetes mellitus.,Glipizide,type 2 diabetes mellitus,type 2 diabetes mellitus,false,true,true,false,false,indications,1.37,2.77
Glipizide is indicated for the treatment of type 2 diabetes mellitus.,Glipizide,type 2 diabetes mellitus,type 2 diabetes mellitus,true,false,true,false,false,indications,1.37,2.77
Glipizide is not indicated for the treatment of molluscum contagiosum.,Glipizide,molluscum contagiosum,type 2 diabetes mellitus,true,true,true,false,false,indications,1.37,1.09
Glipizide is indicated for the treatment of IBS.,Glipizide,IBS,type 2 diabetes mellitus,false,false,true,false,false,indications,1.37,2.9
Vancomycin is not indicated for the treatment of bone infections.,Vancomycin,bone infections,"bone infections, lower respiratory tract infections, septicemia",false,true,true,false,false,indications,2.28,3.85
Vancomycin is indicated for the treatment of bone infections.,Vancomycin,bone infections,"bone infections, lower respiratory tract infections, septicemia",true,false,true,false,false,indications,2.28,3.85
Vancomycin is not indicated for the treatment of Candidiasis.,Vancomycin,Candidiasis,"bone infections, lower respiratory tract infections, septicemia",true,true,true,false,false,indications,2.28,2.06
Vancomycin is indicated for the treatment of embolic.,Vancomycin,embolic,"bone infections, lower respiratory tract infections, septicemia",false,false,true,false,false,indications,2.28,1.84
Vancomycin is not indicated for the treatment of lower respiratory tract infections.,Vancomycin,lower respiratory tract infections,"bone infections, lower respiratory tract infections, septicemia",false,true,true,false,false,indications,2.28,3.33
Vancomycin is indicated for the treatment of lower respiratory tract infections.,Vancomycin,lower respiratory tract infections,"bone infections, lower respiratory tract infections, septicemia",true,false,true,false,false,indications,2.28,3.33
Vancomycin is not indicated for the treatment of keratitis.,Vancomycin,keratitis,"bone infections, lower respiratory tract infections, septicemia",true,true,true,false,false,indications,2.28,1.92
