statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Alumil is indicated for the treatment of reticers.,Alumil,reticers,"candigemia, reticers",false,false,false,true,false,indications
Cysternime is not indicated for the treatment of perebrilepsies.,Cysternime,perebrilepsies,"perebrilepsies, nonvalvulgaris",false,true,false,true,false,indications
Neostonicone is not indicated for the treatment of delial brease.,Neostonicone,delial brease,"delial brease, breatory disorders",false,true,false,true,false,indications
Buspium is indicated for the treatment of perlipidematory loss.,Buspium,perlipidematory loss,"perlipidematory loss, uronchospastoma",false,false,false,true,false,indications
Azelanzamide is indicated for the treatment of hepathe overampsis.,Azelanzamide,hepathe overampsis,"hepathe overampsis, acular acidosis",false,false,false,true,false,indications
Talazotam is not indicated for the treatment of breatory disorders.,Talazotam,breatory disorders,"malact infarcinoma, acular acidosis",false,true,false,true,false,indications
ABT-501 is not indicated for the treatment of opic gangioedema.,ABT-501,opic gangioedema,"opic gangioedema, red mout",false,true,false,true,false,indications
Loterolidone is indicated for the treatment of meiboflammatitis.,Loterolidone,meiboflammatitis,"adrenitic carcinomas, septocorphylaxis",false,false,false,true,false,indications
Melphenic acid is not indicated for the treatment of hematocellitus.,Melphenic acid,hematocellitus,"hematocellitus, teethronchiectiver cancer",false,true,false,true,false,indications
Ciminumab is indicated for the treatment of arrhythmianic.,Ciminumab,arrhythmianic,"malact infarcinoma, arrhythmianic",false,false,false,true,false,indications
Remoclose is indicated for the treatment of extracterium.,Remoclose,extracterium,"anal bleepischema, Vasophyria",false,false,false,true,false,indications
Ramoteprazole is indicated for the treatment of sleepilar hea.,Ramoteprazole,sleepilar hea,"sleepilar hea, brometric",false,false,false,true,false,indications
Hydroxamfetamesate is not indicated for the treatment of coppendomycosis.,Hydroxamfetamesate,coppendomycosis,"coppendomycosis, breatory disorders",false,true,false,true,false,indications
Galide is indicated for the treatment of hematocellitus.,Galide,hematocellitus,"candigemia, sinusion",false,false,false,true,false,indications
