statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Factorce is a synonym of a chrishing.,factorce,chrishing,"eastomicrole, trip-offerit",false,false,false,true,false,synonyms
Vills is not a synonym of a collium.,vills,collium,"collium, browties",false,true,false,true,false,synonyms
Prescabi is not a synonym of a piquity.,prescabi,piquity,"piquity, ceable",false,true,false,true,false,synonyms
Nigglia is a synonym of a movidex.,nigglia,movidex,"movidex, privantosh",false,false,false,true,false,synonyms
Waistace is a synonym of a handage.,waistace,handage,"handage, mainsolfer",false,false,false,true,false,synonyms
Intess is a synonym of a corop.,intess,corop,"corop, quino",false,false,false,true,false,synonyms
Contre is a synonym of a jamment.,contre,jamment,"jamment, miliar",false,false,false,true,false,synonyms
Quation is a synonym of a rippine.,quation,rippine,"drickneelness, inni",false,false,false,true,false,synonyms
Quination is a synonym of a hobblivor.,quination,hobblivor,"suspenooze, factionia",false,false,false,true,false,synonyms
Solverogen is not a synonym of a coltancer.,solverogen,coltancer,"carabi, wrenalness",false,true,false,true,false,synonyms
Dostab is a synonym of a taching.,dostab,taching,"monemaine, taching",false,false,false,true,false,synonyms
Infring is not a synonym of a wyvesthetent.,infring,wyvesthetent,"dext, posure",false,true,false,true,false,synonyms
Allroom is not a synonym of an idifiela.,allroom,idifiela,"patern, pawpawpawpaw",false,true,false,true,false,synonyms
Kneelief is not a synonym of a wyvesthetent.,kneelief,wyvesthetent,"wyvesthetent, sebaucher",false,true,false,true,false,synonyms
Cornograph is a synonym of a brilbird.,cornograph,brilbird,"baction, brilbird",false,false,false,true,false,synonyms
Mozawa is not a synonym of a jamace.,mozawa,jamace,"jamace, schilanter 66",false,true,false,true,false,synonyms
Poding is not a synonym of a waist mation.,poding,waist mation,"quisliming, gynaestherdun",false,true,false,true,false,synonyms
Cochirrup is not a synonym of a mic provocann.,cochirrup,mic provocann,"mic celevising, mic provocann",false,true,false,true,false,synonyms
Turbox is not a synonym of a doojig.,turbox,doojig,"kenny, refiness",false,true,false,true,false,synonyms
Sconter is not a synonym of a gigacy.,sconter,gigacy,"charth, tyndinuit",false,true,false,true,false,synonyms
Scontifa is not a synonym of bottongs.,scontifa,bottongs,"bottongs, hare systaff",false,true,false,true,false,synonyms
Madnes is a synonym of a pepperium.,madnes,pepperium,"pepperium, so-andyman",false,false,false,true,false,synonyms
Hoopecidium is a synonym of an undidance.,hoopecidium,undidance,"nonflose notizen, croscottlee",false,false,false,true,false,synonyms
Junky is a synonym of a poinkeno.,junky,poinkeno,"poinkeno, deteness",false,false,false,true,false,synonyms
Railion is not a synonym of bis systernintoba.,railion,bis systernintoba,"bis systernintoba, moundle-nose",false,true,false,true,false,synonyms
Djibouller is not a synonym of a tv secution.,djibouller,tv secution,"tv secution, accompuring",false,true,false,true,false,synonyms
Rectan is a synonym of a helimitty.,rectan,helimitty,"attenation, manding",false,false,false,true,false,synonyms
Croops is a synonym of a rhabbag.,croops,rhabbag,"alism, tyndinuit",false,false,false,true,false,synonyms
Oldfistern is not a synonym of a daddina.,oldfistern,daddina,"clashise, preter",false,true,false,true,false,synonyms
Viewellish is a synonym of a spenancy.,viewellish,spenancy,"lippin, ceable",false,false,false,true,false,synonyms
Visorist is not a synonym of a nuater.,visorist,nuater,"expostan, nuater",false,true,false,true,false,synonyms
Suspens is not a synonym of a protte.,suspens,protte,"pearness, proca",false,true,false,true,false,synonyms
Throner is not a synonym of a juncollmenze.,throner,juncollmenze,"malapprese, helimitty",false,true,false,true,false,synonyms
Factori is a synonym of bis systernintoba.,factori,bis systernintoba,"virging, chole",false,false,false,true,false,synonyms
Genings is not a synonym of a plainite mattager.,genings,plainite mattager,"plainite mattager, virgilt",false,true,false,true,false,synonyms
Koperier is not a synonym of a daddina.,koperier,daddina,"shivant, cumstal",false,true,false,true,false,synonyms
Grocea is a synonym of an incium.,grocea,incium,"plumper sodics, sconfing",false,false,false,true,false,synonyms
Decoastruce is a synonym of cipless.,decoastruce,cipless,"cipless, corprimet",false,false,false,true,false,synonyms
Nectrotton is a synonym of a jouratta.,nectrotton,jouratta,"pitorine, cumstal",false,false,false,true,false,synonyms
Fatsmanna is a synonym of a riple.,fatsmanna,riple,"riple, fedon feve",false,false,false,true,false,synonyms
Blastenet is a synonym of an ice-ace.,blastenet,ice-ace,"mooze, johology",false,false,false,true,false,synonyms
Mov is not a synonym of a carror.,mov,carror,"decration, carror",false,true,false,true,false,synonyms
Litrine is a synonym of a televant.,litrine,televant,"harkov, manzani",false,false,false,true,false,synonyms
Gibler is a synonym of a quivert.,gibler,quivert,"chiasimontry, quivert",false,false,false,true,false,synonyms
Stelapse is not a synonym of a cability.,stelapse,cability,"praxity, cability",false,true,false,true,false,synonyms
Cyborak is not a synonym of an edeava.,cyborak,edeava,"rose syster, venessius",false,true,false,true,false,synonyms
Nairoception is a synonym of a decati.,nairoception,decati,"daddina, fini",false,false,false,true,false,synonyms
Monessing is a synonym of a commismuth.,monessing,commismuth,"lubrity, commismuth",false,false,false,true,false,synonyms
Nuden is not a synonym of an exclumpt.,nuden,exclumpt,"lippin, captainter",false,true,false,true,false,synonyms
Proppoinia is a synonym of cotis.,proppoinia,cotis,"cotis, kopervance",false,false,false,true,false,synonyms
Cornograph is not a synonym of a sterment.,cornograph,sterment,"baction, brilbird",false,true,false,true,false,synonyms
Kapole is a synonym of a clopent.,kapole,clopent,"clopent, lismuth",false,false,false,true,false,synonyms
Ortimber is a synonym of a factionia.,ortimber,factionia,"rigglewillar feveren, ung sum",false,false,false,true,false,synonyms
Caliness is a synonym of a hare systaff.,caliness,hare systaff,"hare systaff, calpatens",false,false,false,true,false,synonyms
Grumberez is not a synonym of a chokkian.,grumberez,chokkian,"peepermithy, chokkian",false,true,false,true,false,synonyms
Icebee is not a synonym of a bioter.,icebee,bioter,"handen band, turer",false,true,false,true,false,synonyms
Asmodiaz is a synonym of rails.,asmodiaz,rails,"rails, malevy",false,false,false,true,false,synonyms
Jalais is not a synonym of a mergy.,jalais,mergy,"pairband, scotting",false,true,false,true,false,synonyms
Trantion is a synonym of a drogeyman.,trantion,drogeyman,"ampathy, consterra",false,false,false,true,false,synonyms
Trister is a synonym of a sination.,trister,sination,"sination, cousand softwatefulfilliancer",false,false,false,true,false,synonyms
Insiddless is a synonym of a submark.,insiddless,submark,"clashise, snugging",false,false,false,true,false,synonyms
Descudding is a synonym of oatmosis.,descudding,oatmosis,"anoeuvrabian, gresoullebor",false,false,false,true,false,synonyms
Harlation is a synonym of a bodium.,harlation,bodium,"maginess, bodium",false,false,false,true,false,synonyms
Spriness is not a synonym of a bioter.,spriness,bioter,"bioter, irried",false,true,false,true,false,synonyms
Waisterer is not a synonym of a candmotor.,waisterer,candmotor,"sapporson, prelechway",false,true,false,true,false,synonyms
Viewellish is not a synonym of a gener.,viewellish,gener,"lippin, ceable",false,true,false,true,false,synonyms
Flunkers is not a synonym of a corun avelandark.,flunkers,corun avelandark,"corun avelandark, candmotor",false,true,false,true,false,synonyms
Salia is not a synonym of a sucree.,salia,sucree,"sucree, abrup",false,true,false,true,false,synonyms
Midana is not a synonym of drickneelness.,midana,drickneelness,"chrishing, jakobus",false,true,false,true,false,synonyms
Poding is not a synonym of a quisliming.,poding,quisliming,"quisliming, gynaestherdun",false,true,false,true,false,synonyms
Mooche is a synonym of ballowlandnese.,mooche,ballowlandnese,"paja, movidex",false,false,false,true,false,synonyms
Empher is a synonym of a twitting.,empher,twitting,"immuttonheadstuderaphale, lismuth",false,false,false,true,false,synonyms
Edware is not a synonym of caciousness.,edware,caciousness,"caciousness, dema",false,true,false,true,false,synonyms
Mujahed is a synonym of a cumstal.,mujahed,cumstal,"bottongs, cumstal",false,false,false,true,false,synonyms
Acroone is a synonym of a saurine.,acroone,saurine,"saurine, eiter",false,false,false,true,false,synonyms
Dudgework is not a synonym of an azingle.,dudgework,azingle,"azingle, materrescuit",false,true,false,true,false,synonyms
Rottlener is a synonym of a kabor.,rottlener,kabor,"solferfish, vitar",false,false,false,true,false,synonyms
Gillus is not a synonym of a dism.,gillus,dism,"candidatus, rejuver",false,true,false,true,false,synonyms
Argings is a synonym of a compathy.,argings,compathy,"incture, gouroys",false,false,false,true,false,synonyms
Boxersion is a synonym of a planding.,boxersion,planding,"schmaker, sureaching",false,false,false,true,false,synonyms
Colokai is not a synonym of a carror.,colokai,carror,"cordiote, harton",false,true,false,true,false,synonyms
Cann is a synonym of a tellium.,cann,tellium,"how-do, pepperium",false,false,false,true,false,synonyms
