statement,object_1,object_2,correct_object_2,correct,negation,real_object,category
Proofreader is a type of a pressman.,proofreader,pressman,"pressman, printer",TRUE,FALSE,TRUE,types
Pes is not a type of a result.,pes,result,"vertebrate foot, pedal extremity",TRUE,TRUE,TRUE,types
Noel is a type of a mixed bag.,noel,mixed bag,season,FALSE,FALSE,TRUE,types
Foyer is a type of a memory image.,foyer,memory image,room,FALSE,FALSE,TRUE,types
Captainship is not a type of a building.,captainship,building,"berth, billet, office, place, position, post, situation, spot",TRUE,TRUE,TRUE,types
Stallion is a type of a living quarters.,stallion,living quarters,male horse,FALSE,FALSE,TRUE,types
Restorer is a type of a vaporization.,restorer,vaporization,"skilled worker, skilled workman, trained worker",FALSE,FALSE,TRUE,types
Staircase is a type of a plant.,staircase,plant,way,FALSE,FALSE,TRUE,types
Osmium is a type of a metallic element.,osmium,metallic element,"metal, metallic element",TRUE,FALSE,TRUE,types
Bacchanalia is a type of a revelry.,bacchanalia,revelry,"revel, revelry",TRUE,FALSE,TRUE,types
Goody is not a type of a gudgeon.,goody,gudgeon,"victuals, alimentation, nourishment, nutriment, nutrition, sustenance, aliment",TRUE,TRUE,TRUE,types
Merino is not a type of a small indefinite quantity.,merino,small indefinite quantity,"domestic sheep, ovis aries",TRUE,TRUE,TRUE,types
Marksman is a type of a shot.,marksman,shot,"shot, shooter",TRUE,FALSE,TRUE,types
Enjoining is not a type of an incline.,enjoining,incline,"prohibition, proscription, ban",TRUE,TRUE,TRUE,types
Bookmark is not a type of a brain disease.,bookmark,brain disease,marker,TRUE,TRUE,TRUE,types
Haloperidol is a type of a horse.,haloperidol,horse,"antipsychotic, antipsychotic agent, antipsychotic drug, major tranquilizer, major tranquilliser, major tranquillizer, neuroleptic, neuroleptic agent, neuroleptic drug",FALSE,FALSE,TRUE,types
Stutterer is not a type of a talker.,stutterer,talker,"speaker, talker, utterer, verbaliser, verbalizer",FALSE,TRUE,TRUE,types
Semibreve is not a type of a tum.,semibreve,tum,"musical note, note, tone",TRUE,TRUE,TRUE,types
Auricle is a type of an accessary.,auricle,accessary,"pouch, pocket",FALSE,FALSE,TRUE,types
Harmonizer is a type of a musician.,harmonizer,musician,"instrumentalist, musician, player",TRUE,FALSE,TRUE,types
