statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category
Factorce is a type of a soullect.,factorce,soullect,"serialism, lity",false,false,false,true,false,types
Vills is not a type of khards.,vills,khards,"khards, domot",false,true,false,true,false,types
Prescabi is not a type of a definity.,prescabi,definity,"definity, shirth",false,true,false,true,false,types
Nigglia is a type of a fibream.,nigglia,fibream,"fibream, chungstory",false,false,false,true,false,types
Waistace is a type of a hawthour.,waistace,hawthour,"hawthour, bookenhage",false,false,false,true,false,types
Intess is a type of a hockholing.,intess,hockholing,"hockholing, railroon",false,false,false,true,false,types
Contre is a type of a funce.,contre,funce,"funce, port gency",false,false,false,true,false,types
Quation is a type of a schoreight.,quation,schoreight,"shirth, outpouch",false,false,false,true,false,types
Quination is a type of a tring.,quination,tring,"summy, magnosition",false,false,false,true,false,types
Solverogen is not a type of a carence.,solverogen,carence,"contryway, creadstor",false,true,false,true,false,types
Dostab is a type of a bemuslic agen.,dostab,bemuslic agen,"moverity, bemuslic agen",false,false,false,true,false,types
Infring is not a type of a tensation.,infring,tensation,"sensen, mager",false,true,false,true,false,types
Allroom is not a type of a mustom.,allroom,mustom,"pairfiela, flation",false,true,false,true,false,types
Kneelief is not a type of albuminess.,kneelief,albuminess,"albuminess, edinger",false,true,false,true,false,types
Cornograph is a type of an aestime.,cornograph,aestime,"optyliness, aestime",false,false,false,true,false,types
Mozawa is not a type of a ricking.,mozawa,ricking,"ricking, cology",false,true,false,true,false,types
Poding is not a type of raveness.,poding,raveness,"sweetop, diologist",false,true,false,true,false,types
Cochirrup is not a type of an emic holy body.,cochirrup,emic holy body,"nuring, emic holy body",false,true,false,true,false,types
Turbox is not a type of a psychode.,turbox,psychode,"metronment, appellieu",false,true,false,true,false,types
Sconter is not a type of a slobacci.,sconter,slobacci,"dowgrapis, mything",false,true,false,true,false,types
Scontifa is not a type of a falcultivity.,scontifa,falcultivity,"falcultivity, irrashifter",false,true,false,true,false,types
Madnes is a type of a guilluctation.,madnes,guilluctation,"guilluctation, assant",false,false,false,true,false,types
Hoopecidium is a type of a symption.,hoopecidium,symption,"publing, experson",false,false,false,true,false,types
Junky is a type of a pring-pic.,junky,pring-pic,"pring-pic, hage",false,false,false,true,false,types
Railion is not a type of a corrhage.,railion,corrhage,"corrhage, horight",false,true,false,true,false,types
Djibouller is not a type of a whitlook.,djibouller,whitlook,"whitlook, ence",false,true,false,true,false,types
Rectan is a type of quasariness.,rectan,quasariness,"matival, labore-and",false,false,false,true,false,types
Croops is a type of a sea codelistup.,croops,sea codelistup,"rubberency, steyancy womacer",false,false,false,true,false,types
Oldfistern is not a type of a unic drug.,oldfistern,unic drug,"wild app, madotro",false,true,false,true,false,types
Viewellish is a type of a mountruce.,viewellish,mountruce,"utcoagulant, whitlook",false,false,false,true,false,types
Visorist is not a type of a gavance.,visorist,gavance,"clin, gavance",false,true,false,true,false,types
Suspens is not a type of supports ston.,suspens,supports ston,"rubberency, geole",false,true,false,true,false,types
Throner is not a type of a healty.,throner,healty,"piction, holle",false,true,false,true,false,types
Factori is a type of an edication.,factori,edication,"emerri, timent",false,false,false,true,false,types
Genings is not a type of a pairfiela.,genings,pairfiela,"pairfiela, magnosition",false,true,false,true,false,types
Koperier is not a type of posis.,koperier,posis,"excreaporking, whithy",false,true,false,true,false,types
Grocea is a type of a fig trela.,grocea,fig trela,"ants, sport geness",false,false,false,true,false,types
Decoastruce is a type of a rainstructure.,decoastruce,rainstructure,"rainstructure, benzymentiar",false,false,false,true,false,types
Nectrotton is a type of a pon syste.,nectrotton,pon syste,"quasariness, supports ston",false,false,false,true,false,types
Fatsmanna is a type of a teace mate.,fatsmanna,teace mate,"teace mate, rece wing",false,false,false,true,false,types
Blastenet is a type of a toterning.,blastenet,toterning,"matival, masterose",false,false,false,true,false,types
Mov is not a type of a constry.,mov,constry,"hypovicery, constry",false,true,false,true,false,types
Litrine is a type of a publique.,litrine,publique,"gementation, accupass",false,false,false,true,false,types
Gibler is a type of a quasantal.,gibler,quasantal,"diologist, quasantal",false,false,false,true,false,types
Stelapse is not a type of a hockholing.,stelapse,hockholing,"brain poiserve trea, hockholing",false,true,false,true,false,types
Cyborak is not a type of ozambargenus.,cyborak,ozambargenus,"gasbonert, soullect",false,true,false,true,false,types
Nairoception is a type of a gagarmerision.,nairoception,gagarmerision,"sport geness, lademicromotional sciental",false,false,false,true,false,types
Monessing is a type of an agregion.,monessing,agregion,"swoods, agregion",false,false,false,true,false,types
